variable,source_id,unit,definition,role,missing,imputation
fhwa_year_matches,fhwa_flags,boolean,Reported year matches panel year,quality,0,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
fhwa_provenance,project,text,Legacy parsed fallback and limited original-workbook reconciliation,lineage,0,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
construction_gdp_chained_2017_million_usd,bea_construction,millions of chained 2017 USD,SAGDP9-11 construction value added,primary,0,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
total_gdp_chained_2017_million_usd,bea_gdp,millions of chained 2017 USD,SAGDP9-1 total real GDP,secondary,0,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
personal_income_nominal_million_usd,bea_income,millions of current USD,SAINC1-1 personal income,secondary,0,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
series_id,bls,series identifier,State CES NAICS 237 series,audit_only,126,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
heavy_civil_employment_thousands,bls,thousands of employees,Mean of 12 monthly NSA NAICS 237 employment values,secondary,126,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
bls_months,bls_heavy_civil,months,Nonmissing monthly observations; require 12,quality,126,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
industrial_distillate_price_per_mmbtu,eia,nominal USD per million Btu,DFICD annual industrial sector estimated price,secondary_candidate,0,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
industrial_electricity_price_per_mmbtu,eia,nominal USD per million Btu,ESICD annual industrial sector estimated price,secondary_candidate,0,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
industrial_natural_gas_price_per_mmbtu,eia,nominal USD per million Btu,NGICD annual industrial sector estimated price,secondary_candidate,0,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
industrial_energy_price_per_mmbtu,eia,nominal USD per million Btu,TEICD annual industrial sector estimated price,secondary_candidate,0,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
private_nonresidential_nominal_million_usd,census_nrstatehs1 + census_nrstate,millions of current USD,Private nonresidential spending excluding power/communication/railroad,secondary,0,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
private_nonresidential_nominal_million_usd_source_file,census_construction,file identifier,Selected source workbook for this state-year value,lineage,0,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
state_local_construction_nominal_million_usd,census_slstatehs + census_slstate,millions of current USD,State/local construction spending,secondary,0,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
state_local_construction_nominal_million_usd_source_file,census_construction,file identifier,Selected source workbook for this state-year value,lineage,0,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
active_stone_mines,msha,mine count,Qualifying active stone/open-pit mines,restricted_secondary,0,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
stone_mine_employees,msha,average employees,Sum of annual-average mine employment,restricted_secondary,0,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
stone_mine_employee_hours,msha,hours per year,Sum of annual mine hours; USGS estimation dependence,restricted_secondary,0,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
stone_mine_operations,msha,mine-year count,Duplicates active_stone_mines under current aggregation,excluded_duplicate,0,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
msha_no_qualifying_activity,msha,boolean,No positive-activity quarry record after filters; aggregates completed to zero,quality,0,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
msha_uses_current_commodity,msha,boolean,Historical activity classified with current primary commodity,quality,0,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
msha_activity_not_rated_capacity,msha,boolean,"Counts/hours are activity proxies, not installed physical capacity",quality,0,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
cpi_index,fred,index 1982-84=100,Annual arithmetic mean monthly seasonally adjusted CPI,deflator_candidate,0,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
cpi_index_observations,fred_CPIAUCSL,months,Count of monthly values in annual mean; require 12,quality,0,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
mortgage_rate_pct,fred,percent,Annual arithmetic mean weekly mortgage rate,national_secondary,0,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
mortgage_rate_pct_observations,fred_MORTGAGE30US,weekly observations,Count of weekly mortgage observations used in annual mean,quality,0,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
inflation_pct,fred,percent,Annual-mean CPI percent change; 2015 missing in panel,national_secondary,0,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
cpi_2017_multiplier,fred_CPIAUCSL,ratio,Annual mean CPI2017/CPIt; consumer purchasing-power adjustment,transformation,0,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
highway_capital_outlays_2017_million_usd,fhwa_legacy + fred_CPIAUCSL,millions of CPI-adjusted 2017 USD,Total/1000*CPI2017/CPIt; mask eight misdated rows,primary,8,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
highway_preservation_2017_million_usd,fhwa_legacy + fred_CPIAUCSL,millions of CPI-adjusted 2017 USD,Construction/preservation/1000*CPI2017/CPIt; strict year mask,sensitivity,8,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
private_nonresidential_2017_million_usd,census construction + fred_CPIAUCSL,millions of CPI-adjusted 2017 USD,Nominal private series*CPI2017/CPIt,secondary,0,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
state_local_construction_2017_million_usd,census construction + fred_CPIAUCSL,millions of CPI-adjusted 2017 USD,Nominal state/local series*CPI2017/CPIt,secondary,0,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
industrial_energy_2017_usd_per_mmbtu,eia_prices + fred_CPIAUCSL,CPI-adjusted 2017 USD per million Btu,TEICD*CPI2017/CPIt,secondary,0,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
lag1_crushed_stone_sold_used_metric_tons,usgs,metric tons,Exact previous-year Crushed stone quantities sold or used; first-sale/use geography,lagged_target,70,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
lag1_housing_units_authorized,census_bps,housing units,Exact previous-year Sum of estimated units in 1/2/3-4/5+ categories,lagged_primary,50,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
lag1_highway_capital_outlays_2017_million_usd,fhwa_legacy + fred_CPIAUCSL,millions of CPI-adjusted 2017 USD,Exact previous-year Total/1000*CPI2017/CPIt; mask eight misdated rows,lagged_primary,58,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
lag1_construction_gdp_chained_2017_million_usd,bea_construction,millions of chained 2017 USD,Exact previous-year SAGDP9-11 construction value added,lagged_primary,50,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
lag1_heavy_civil_employment_thousands,bls,thousands of employees,Exact previous-year Mean of 12 monthly NSA NAICS 237 employment values,lagged_secondary,162,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
lag1_industrial_energy_2017_usd_per_mmbtu,eia_prices + fred_CPIAUCSL,CPI-adjusted 2017 USD per million Btu,Exact previous-year TEICD*CPI2017/CPIt,lagged_secondary,50,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
lag1_active_stone_mines,msha,mine count,Exact previous-year Qualifying active stone/open-pit mines,lagged_restricted_secondary,50,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
lag1_stone_mine_employee_hours,msha,hours per year,Exact previous-year Sum of annual mine hours; USGS estimation dependence,lagged_restricted_secondary,50,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
lag1_private_nonresidential_2017_million_usd,census construction + fred_CPIAUCSL,millions of CPI-adjusted 2017 USD,Exact previous-year Nominal private series*CPI2017/CPIt,lagged_secondary,50,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
lag1_state_local_construction_2017_million_usd,census construction + fred_CPIAUCSL,millions of CPI-adjusted 2017 USD,Exact previous-year Nominal state/local series*CPI2017/CPIt,lagged_secondary,50,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
lag1_source_year,project,year,Source row year used for all exact calendar lags,lineage,50,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
target_observed,usgs,boolean,A numeric target is available; includes agency estimates,quality,0,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
eligible_explanation,project,boolean,Observed target and nonmissing contemporaneous primary indicators,eligibility,0,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
eligible_prediction,project,boolean,Observed target plus prior target and all three prior primary indicators,eligibility,0,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
dataset_stage,project,text,Approved design; final model approval remains pending,metadata,0,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
